Brand,Year,Model,Used,Manual Transmission,Cylinder.Engine,Liters.Engine,Fossil Fuel,Kilometres,Asia,Passenger Cars,SUV,Ute Tray,VAN,Doors,Seats,Price
Porsche,1978,911,1,1,6,3.0,1,145600,0,1,0,0,0,2,4,97500
Bentley,1985,Mulsanne,1,0,8,6.8,1,93182,0,1,0,0,0,4,5,49990
Jaguar,1986,Xjsc,1,0,12,5.3,1,136947,0,1,0,0,0,2,2,69990
Mercedes-Benz,1989,560,1,0,8,5.5,1,198000,0,1,0,0,0,2,2,59999
Mercedes-Benz,1989,420,1,0,8,4.2,1,170744,0,1,0,0,0,4,5,24990
Mercedes-Benz,1989,190,1,0,6,2.6,1,150426,0,1,0,0,0,4,5,19990
Honda,1990,Integra,1,0,4,1.8,1,233543,1,1,0,0,0,2,4,4999
BMW,1990,M5,1,1,6,3.5,1,115198,0,1,0,0,0,4,5,71990
Toyota,1991,Landcruiser,1,1,6,4.2,1,450000,1,0,1,0,0,4,8,29800
Toyota,1993,Landcruiser,1,1,6,4.2,1,452920,1,0,1,0,0,2,6,24999
Toyota,1993,Landcruiser,1,0,6,4.5,1,413515,1,0,1,0,0,4,8,12999
Mazda,1994,E2000,1,0,4,2.0,1,183197,1,0,0,0,1,2,3,14999
Toyota,1994,Landcruiser,1,0,6,4.5,1,331794,1,0,1,0,0,4,8,18999
Nissan,1994,300ZX,1,1,6,3.0,1,171146,1,1,0,0,0,2,4,39980
Toyota,1995,Corolla,1,0,4,1.6,1,204004,1,1,0,0,0,5,5,2995
Toyota,1996,Corolla,1,0,4,1.6,1,159657,1,1,0,0,0,4,5,8888
Toyota,1996,Landcruiser,1,1,6,4.2,1,386381,1,0,0,1,0,2,3,22000
Suzuki,1996,Sierra,1,1,4,1.3,1,78881,1,0,1,0,0,2,4,26888
Toyota,1997,Camry,1,0,4,2.2,1,113704,1,1,0,0,0,4,5,8490
BMW,1997,318I,1,1,4,1.8,1,335783,0,1,0,0,0,4,5,6988
Toyota,1998,Landcruiser,1,1,6,4.5,1,252221,1,0,1,0,0,4,8,22990
Toyota,1998,Hilux,1,1,4,3.0,1,248767,1,0,0,1,0,2,3,15995
Toyota,1998,Landcruiser,1,1,6,4.2,1,415902,1,0,1,0,0,4,6,14800
Toyota,1998,Landcruiser,1,1,6,4.2,1,209031,1,0,1,0,0,2,11,45950
MG,1998,F,1,1,4,1.8,1,79070,0,1,0,0,0,2,2,14990
Toyota,1998,Corolla,1,0,4,1.8,1,208308,1,1,0,0,0,4,5,4990
Lexus,1998,ES300,1,0,6,3.0,1,149123,1,1,0,0,0,4,5,7888
Jaguar,1998,XJ8,1,0,8,4.0,1,393000,0,1,0,0,0,4,5,14999
Jaguar,1998,XJ8,1,0,8,4.0,1,248000,0,1,0,0,0,4,5,24999
Nissan,1998,Pathfinder,1,0,6,3.3,1,284456,1,0,1,0,0,4,5,7999
Toyota,1998,Landcruiser,1,0,6,4.5,1,312000,1,0,1,0,0,4,8,16500
Porsche,1998,Boxster,1,1,6,2.5,1,134000,0,1,0,0,0,2,2,27250
Daewoo,1998,Lanos,1,1,4,1.5,1,310000,1,1,0,0,0,4,5,900
Toyota,1998,Landcruiser,1,0,6,3.4,1,416885,1,0,1,0,0,4,8,9990
Toyota,1998,Landcruiser,1,0,6,3.4,1,0,1,0,1,0,0,4,8,8990
Toyota,1998,RAV4,1,0,4,2.0,1,308344,1,0,1,0,0,2,4,8999
Honda,1998,Civic,1,0,4,1.6,1,206276,1,1,0,0,0,3,5,7387
Toyota,1999,Landcruiser,1,1,6,4.2,1,41750,1,0,0,1,0,2,3,48999
Subaru,1999,Impreza,1,1,4,2.0,1,118778,1,1,0,0,0,4,5,29888
Toyota,1999,Landcruiser,1,0,6,4.2,1,394167,1,0,1,0,0,4,8,22999
Nissan,1999,Patrol,1,1,6,2.8,1,274098,1,0,1,0,0,4,7,13990
Toyota,1999,Landcruiser,1,1,6,4.2,1,51284,1,0,0,1,0,2,3,44999
Toyota,1999,Landcruiser,1,1,6,4.2,1,221109,1,0,1,0,0,2,11,27999
Audi,1999,TT,1,1,4,1.8,1,204026,0,1,0,0,0,2,4,15999
Subaru,1999,Liberty,1,0,4,2.0,1,184482,1,1,0,0,0,4,5,4999
Toyota,1999,Camry,1,0,6,3.0,1,96582,1,1,0,0,0,4,5,9990
Toyota,1999,Hilux,1,1,4,2.0,1,203255,1,0,0,1,0,2,3,9990
Toyota,1999,Hilux,1,1,4,3.0,1,299986,1,0,0,1,0,4,5,14999
Toyota,1999,Landcruiser,1,1,6,4.5,1,473640,1,0,1,0,0,4,6,13988
Honda,1999,Civic,1,0,4,1.6,1,220374,1,1,0,0,0,3,5,6995
Mazda,1999,MX-5,1,1,4,1.8,1,304382,1,1,0,0,0,2,2,7788
Lexus,1999,LX470,1,0,8,4.7,1,240000,1,0,1,0,0,4,8,24999
Nissan,1999,Pulsar,1,0,4,2.0,1,168427,1,1,0,0,0,5,5,6990
Mercedes-Benz,1999,C200,1,0,4,2.0,1,205440,0,1,0,0,0,4,5,4999
Subaru,1999,Liberty,1,1,4,2.0,1,274144,1,1,0,0,0,4,5,5995
Nissan,2000,Pulsar,1,0,4,1.6,1,300539,1,1,0,0,0,5,5,2995
Mazda,2000,E2000,1,1,4,2.0,1,369953,1,0,0,0,1,2,3,5990
Mazda,2000,MX-5,1,1,4,1.8,1,238498,1,1,0,0,0,2,2,9999
Audi,2000,TT,1,1,4,1.8,1,205870,0,1,0,0,0,2,2,13990
Mazda,2000,323,1,0,4,1.6,1,211114,1,1,0,0,0,5,5,4550
Toyota,2000,RAV4,1,1,4,2.0,1,287500,1,0,1,0,0,4,5,5990
Mercedes-Benz,2000,A190,1,0,4,1.9,1,104431,0,1,0,0,0,5,5,6990
Honda,2000,Integra,1,1,4,1.8,1,205364,1,1,0,0,0,2,4,48880
Toyota,2000,Hilux,1,1,4,3.0,1,128896,1,0,0,1,0,4,5,29950
Toyota,2000,Hilux,1,1,4,3.0,1,241621,1,0,0,1,0,2,3,19990
Toyota,2000,Avalon,1,0,6,3.0,1,209702,1,1,0,0,0,4,5,7990
Mercedes-Benz,2000,CLK320,1,0,6,3.2,1,156004,0,1,0,0,0,2,4,16990
Nissan,2000,Patrol,1,1,4,3.0,1,388433,1,0,1,0,0,4,7,11999
Audi,2000,A4,1,1,4,1.8,1,292000,0,1,0,0,0,4,5,2999
Toyota,2000,Hilux,1,1,4,3.0,1,492659,1,0,0,1,0,4,5,7999
Toyota,2000,RAV4,1,0,4,2.0,1,236487,1,0,1,0,0,4,5,7990
Mazda,2000,121,1,0,4,1.5,1,201000,1,1,0,0,0,5,5,5990
Mitsubishi,2000,Pajero,1,0,6,3.5,1,320000,1,0,1,0,0,4,7,8900
Toyota,2000,Corolla,1,0,4,1.8,1,188072,1,1,0,0,0,5,5,5999
Toyota,2000,RAV4,1,0,4,2.0,1,136650,1,0,1,0,0,4,5,6990
Hyundai,2000,Accent,1,0,4,1.5,1,217162,1,1,0,0,0,5,5,5490
Toyota,2000,Camry,1,0,4,2.2,1,343770,1,1,0,0,0,4,5,2500
Toyota,2000,Camry,1,0,4,2.2,1,139601,1,1,0,0,0,4,5,6990
Nissan,2000,Patrol,1,1,4,3.0,1,370553,1,0,1,0,0,4,7,15990
Mercedes-Benz,2000,S430,1,0,8,4.3,1,286200,0,1,0,0,0,4,5,7999
Nissan,2001,Patrol,1,1,4,3.0,1,309774,1,0,1,0,0,4,7,16950
Toyota,2001,Hilux,1,1,4,2.0,1,392793,1,0,0,1,0,2,3,4750
Ferrari,2001,360,1,1,8,3.6,1,47381,0,1,0,0,0,2,2,219880
Honda,2001,CR-V,1,0,4,2.4,1,303221,1,0,1,0,0,4,5,3499
Nissan,2001,Patrol,1,0,6,4.5,1,156956,1,0,1,0,0,4,7,16990
Land,2001,Rover,1,0,8,4.0,1,315338,0,0,1,0,0,4,5,8995
Toyota,2001,Corolla,1,0,4,1.8,1,156238,1,1,0,0,0,4,5,4700
Mazda,2001,323,1,0,4,1.8,1,165000,1,1,0,0,0,5,5,3300
Mazda,2001,Tribute,1,0,6,3.0,1,293647,1,0,1,0,0,4,5,4990
Volkswagen,2001,Transporter,1,1,5,2.5,1,174486,0,0,0,0,1,4,5,6999
Nissan,2001,Pulsar,1,1,4,1.8,1,151872,1,1,0,0,0,5,5,4499
Nissan,2001,Navara,1,1,6,3.0,1,235256,1,0,0,1,0,4,5,8990
Toyota,2001,Hilux,1,1,4,3.0,1,337400,1,0,0,1,0,4,5,13999
Hyundai,2001,Elantra,1,0,4,1.8,1,118937,1,1,0,0,0,4,5,5999
Toyota,2001,Landcruiser,1,0,6,4.5,1,223879,1,0,1,0,0,4,8,19999
Hyundai,2001,Elantra,1,0,4,1.8,1,216332,1,1,0,0,0,4,5,4989
Toyota,2001,Hilux,1,1,4,2.7,1,212882,1,0,0,1,0,2,3,10490
Kia,2001,Spectra,1,0,4,1.8,1,120792,1,1,0,0,0,5,5,7999
Toyota,2001,Camry,1,0,6,3.0,1,185630,1,1,0,0,0,4,5,5999
Mitsubishi,2001,Pajero,1,0,6,3.5,1,266185,1,0,1,0,0,4,7,12990
Toyota,2001,Camry,1,0,6,3.0,1,286601,1,1,0,0,0,4,5,5999
Toyota,2001,Avalon,1,0,6,3.0,1,259724,1,1,0,0,0,4,5,7799
Mazda,2001,MPV,1,0,6,2.5,1,160757,1,1,0,0,0,4,7,7999
Audi,2001,A4,1,0,4,2.0,1,203121,0,1,0,0,0,4,5,3990
Mitsubishi,2001,Triton,1,0,6,3.0,1,341850,1,0,0,1,0,4,5,5800
Nissan,2002,Pulsar,1,0,4,1.8,1,169981,1,1,0,0,0,4,5,7880
Toyota,2002,Celica,1,1,4,1.8,1,273640,1,1,0,0,0,2,4,6999
Toyota,2002,Camry,1,0,6,3.0,1,212232,1,1,0,0,0,4,5,5995
Toyota,2002,Corolla,1,0,4,1.8,1,248291,1,1,0,0,0,5,5,8490
Toyota,2002,RAV4,1,1,4,2.0,1,331488,1,0,1,0,0,4,5,6490
Suzuki,2002,Grand,1,1,4,2.0,1,225544,1,0,1,0,0,2,5,5999
Suzuki,2002,XL-7,1,0,6,2.7,1,207703,1,0,1,0,0,4,7,5990
Nissan,2002,Pathfinder,1,0,6,3.3,1,363533,1,0,1,0,0,4,5,6880
Porsche,2002,911,1,0,6,3.6,1,151438,0,1,0,0,0,2,4,89990
Toyota,2002,Landcruiser,1,0,4,3.0,1,433260,1,0,1,0,0,4,8,10990
Mercedes-Benz,2002,MB100,1,1,5,2.9,1,460269,0,0,0,0,1,4,2,1895
Toyota,2002,Camry,1,0,4,2.4,1,102000,1,1,0,0,0,4,5,6999
Toyota,2002,Landcruiser,1,0,4,3.0,1,246100,1,0,1,0,0,4,8,14990
Volkswagen,2002,Transporter,1,1,5,2.5,1,265616,0,0,0,0,1,2,2,39990
Toyota,2002,Tarago,1,0,4,2.4,1,332498,1,1,0,0,0,4,8,7910
BMW,2002,M3,1,1,6,3.2,1,173519,0,1,0,0,0,2,5,43000
BMW,2002,330CI,1,0,6,3.0,1,237574,0,1,0,0,0,2,5,13990
Nissan,2002,Navara,1,1,4,3.0,1,263239,1,0,0,1,0,4,5,8999
Toyota,2002,Corolla,1,0,4,1.8,1,95100,1,1,0,0,0,5,5,9900
Honda,2002,CR-V,1,0,4,2.4,1,245388,1,0,1,0,0,4,5,6990
Nissan,2002,Patrol,1,0,4,3.0,1,302328,1,0,1,0,0,4,7,17999
Nissan,2002,Patrol,1,0,4,3.0,1,352185,1,0,1,0,0,4,7,20000
Nissan,2002,Patrol,1,0,4,3.0,1,244453,1,0,1,0,0,4,7,19999
Toyota,2002,Landcruiser,1,1,4,3.0,1,335550,1,0,1,0,0,4,8,15999
Toyota,2002,Landcruiser,1,1,6,4.2,1,401300,1,0,1,0,0,4,6,19999
Nissan,2002,Patrol,1,0,6,4.8,1,349275,1,0,1,0,0,4,7,16990
Toyota,2002,Echo,1,0,4,1.3,1,125211,1,1,0,0,0,3,5,6990
Mercedes-Benz,2002,C180,1,0,4,2.0,1,275123,0,1,0,0,0,4,5,9990
Toyota,2002,Hilux,1,1,4,2.7,1,327445,1,0,0,1,0,2,2,10900
Bentley,2002,Arnage,1,0,8,6.8,1,4800,0,1,0,0,0,4,5,159990
BMW,2002,X5,1,0,6,3.0,1,240850,0,0,1,0,0,4,5,7900
Mercedes-Benz,2002,MB100,1,1,5,2.9,1,50885,0,0,0,0,1,4,2,9999
Hyundai,2002,Accent,1,1,4,1.5,1,113194,1,1,0,0,0,3,5,7990
Mitsubishi,2002,Pajero,1,0,6,3.5,1,237787,1,0,1,0,0,4,7,13990
Toyota,2002,Tarago,1,0,4,2.4,1,249000,1,1,0,0,0,4,8,8995
Toyota,2002,RAV4,1,1,4,2.0,1,260535,1,0,1,0,0,4,5,4998
Mitsubishi,2002,Pajero,1,0,6,3.5,1,355479,1,0,1,0,0,4,7,7999
Toyota,2002,Landcruiser,1,0,6,4.2,1,326200,1,0,1,0,0,4,8,32999
Toyota,2002,Corolla,1,1,4,1.8,1,185413,1,1,0,0,0,4,5,5990
Toyota,2002,Corolla,1,0,4,1.8,1,191225,1,1,0,0,0,5,5,7990
Toyota,2002,RAV4,1,0,4,2.0,1,208000,1,0,1,0,0,4,5,7888
Nissan,2002,Patrol,1,1,4,3.0,1,434896,1,0,1,0,0,4,5,9999
Subaru,2002,Outback,1,0,4,2.5,1,198037,1,0,1,0,0,4,5,4995
Toyota,2003,HiAce,1,0,4,2.4,1,266848,1,0,0,0,1,4,3,9999
Toyota,2003,Landcruiser,1,0,6,4.0,1,336271,1,0,1,0,0,4,8,13990
Nissan,2003,Patrol,1,1,4,3.0,1,332861,1,0,1,0,0,4,7,16880
Audi,2003,A4,1,0,6,2.4,1,115910,0,1,0,0,0,4,5,5888
Toyota,2003,Camry,1,0,6,3.0,1,172019,1,1,0,0,0,4,5,5950
Nissan,2003,Pulsar,1,0,4,1.8,1,247081,1,1,0,0,0,4,5,4990
Mazda,2003,6,1,0,4,2.3,1,228388,1,1,0,0,0,4,5,5950
Toyota,2003,HiAce,1,1,4,2.4,1,212777,1,0,0,0,1,4,2,27995
Toyota,2003,RAV4,1,1,4,2.0,1,231686,1,0,1,0,0,4,5,6995
Mitsubishi,2003,Pajero,1,0,6,3.8,1,142350,1,0,1,0,0,4,7,17999
Nissan,2003,Pulsar,1,1,4,1.8,1,146007,1,1,0,0,0,4,5,3990
Mercedes-Benz,2003,SL55,1,0,8,5.4,1,113567,0,1,0,0,0,2,2,69950
Renault,2003,Laguna,1,0,6,2.9,1,102701,0,1,0,0,0,5,5,6990
Toyota,2003,Echo,1,0,4,1.5,1,61435,1,1,0,0,0,4,5,9771
Mitsubishi,2003,Triton,1,1,4,2.4,1,186708,1,0,0,1,0,2,3,6995
Porsche,2003,Cayenne,1,0,8,4.5,1,138332,0,0,1,0,0,4,5,25880
BMW,2003,318I,1,0,4,2.0,1,261021,0,1,0,0,0,4,5,5990
Mercedes-Benz,2003,C200,1,0,4,1.8,1,193914,0,1,0,0,0,4,5,8990
Toyota,2003,Landcruiser,1,0,6,4.0,1,226054,1,0,1,0,0,4,8,23490
Hyundai,2003,Getz,1,1,4,1.5,1,437121,1,1,0,0,0,3,5,2999
Mercedes-Benz,2003,CLK320,1,0,6,3.2,1,92000,0,1,0,0,0,2,5,13490
Mitsubishi,2003,Pajero,1,0,4,3.2,1,343128,1,0,1,0,0,4,7,9990
Subaru,2003,Liberty,1,1,4,2.5,1,222609,1,1,0,0,0,4,5,4999
Mazda,2003,MPV,1,0,6,3.0,1,201603,1,1,0,0,0,4,7,7999
Toyota,2003,Corolla,1,0,4,1.8,1,191421,1,1,0,0,0,5,5,7999
Mercedes-Benz,2003,ML350,1,0,6,3.7,1,175420,0,0,1,0,0,4,5,8990
Toyota,2003,Landcruiser,1,0,4,3.0,1,312270,1,0,1,0,0,4,8,14990
Mitsubishi,2003,Pajero,1,0,6,3.5,1,192686,1,0,1,0,0,4,7,13999
Nissan,2003,Patrol,1,0,4,3.0,1,437226,1,0,1,0,0,4,7,10989
Mercedes-Benz,2003,CLK320,1,0,6,3.2,1,158925,0,1,0,0,0,2,5,10999
Toyota,2003,Corolla,1,1,4,1.8,1,196590,1,1,0,0,0,4,5,6888
Nissan,2003,Patrol,1,1,4,3.0,1,392353,1,0,1,0,0,4,7,12999
BMW,2003,530I,1,0,6,3.0,1,128194,0,1,0,0,0,4,5,12999
Mazda,2003,Tribute,1,0,6,3.0,1,258003,1,0,1,0,0,4,5,6799
Honda,2003,Jazz,1,0,4,1.3,1,192043,1,1,0,0,0,5,5,5700
Toyota,2003,Echo,1,0,4,1.3,1,164135,1,1,0,0,0,3,5,6990
Nissan,2003,Patrol,1,1,4,3.0,1,135460,1,0,1,0,0,4,7,39999
Honda,2003,Accord,1,0,4,2.4,1,313628,1,1,0,0,0,4,5,6799
Mitsubishi,2003,Express,1,0,4,2.4,1,187052,1,0,0,0,1,2,2,11999
Toyota,2003,Camry,1,0,4,2.4,1,360151,1,1,0,0,0,4,5,5990
Toyota,2003,Landcruiser,1,0,4,3.0,1,319132,1,0,1,0,0,4,8,25000
Mitsubishi,2003,Pajero,1,1,4,3.2,1,401826,1,0,1,0,0,4,7,8999
Mitsubishi,2003,Pajero,1,0,4,3.2,1,318206,1,0,1,0,0,4,7,11999
Nissan,2003,350Z,1,1,6,3.5,1,98615,1,1,0,0,0,2,2,22990
Nissan,2003,Patrol,1,1,4,3.0,1,284253,1,0,1,0,0,4,7,15990
Toyota,2003,Landcruiser,1,1,6,4.0,1,335974,1,0,1,0,0,4,8,14990
Volvo,2003,V40,1,0,4,1.9,1,186493,0,1,0,0,0,4,5,5999
Lexus,2004,IS300,1,0,6,3.0,1,124230,1,1,0,0,0,4,5,16000
Honda,2004,Accord,1,0,4,2.4,1,207966,1,1,0,0,0,4,5,8990
Toyota,2004,Camry,1,0,4,2.4,1,95362,1,1,0,0,0,4,5,12995
Nissan,2004,X-Trail,1,0,4,2.5,1,187550,1,0,1,0,0,4,5,10995
Toyota,2004,Hilux,1,1,4,3.0,1,415913,1,0,0,1,0,4,5,16999
Subaru,2004,Forester,1,0,4,2.5,1,284604,1,0,1,0,0,4,5,11880
Hyundai,2004,Santa,1,0,6,2.7,1,182067,1,0,1,0,0,4,5,7995
Mazda,2004,2,1,0,4,1.5,1,176693,1,1,0,0,0,5,4,8995
Mazda,2004,3,1,0,4,2.0,1,228966,1,1,0,0,0,5,5,9995
Mercedes-Benz,2004,E55,1,0,8,5.4,1,167083,0,1,0,0,0,4,5,38950
BMW,2004,320CI,1,1,6,2.2,1,268205,0,1,0,0,0,2,5,3999
Mazda,2004,3,1,0,4,2.0,1,161876,1,1,0,0,0,4,5,7990
Toyota,2004,Landcruiser,1,0,6,4.0,1,269101,1,0,1,0,0,4,8,19995
Kia,2004,RIO,1,0,4,1.5,1,154083,1,1,0,0,0,5,5,5999
Mercedes-Benz,2004,CLK320,1,0,6,3.2,1,213745,0,1,0,0,0,2,5,9800
Audi,2004,A3,1,1,4,1.6,1,138000,0,1,0,0,0,3,5,6995
Honda,2004,CR-V,1,0,4,2.4,1,252442,1,0,1,0,0,4,5,5995
Hyundai,2004,Elantra,1,0,4,2.0,1,185413,1,1,0,0,0,5,5,2995
Toyota,2004,Kluger,1,0,6,3.3,1,299414,1,0,1,0,0,4,7,8995
Toyota,2004,Corolla,1,1,4,1.8,1,216301,1,1,0,0,0,5,5,5990
Toyota,2004,Landcruiser,1,0,8,4.7,1,329187,1,0,1,0,0,4,8,19950
Mitsubishi,2004,Magna,1,0,6,3.5,1,107999,1,1,0,0,0,4,5,6949
Mitsubishi,2004,Lancer,1,0,4,2.0,1,70014,1,1,0,0,0,4,5,5999
Toyota,2004,Landcruiser,1,0,8,4.7,1,417079,1,0,1,0,0,4,8,14913
Nissan,2004,Patrol,1,0,4,3.0,1,282076,1,0,1,0,0,4,7,29950
Toyota,2004,Landcruiser,1,0,6,4.2,1,350999,1,0,1,0,0,4,8,69900
Hyundai,2004,Trajet,1,0,6,2.7,1,260718,1,1,0,0,0,4,7,6990
Nissan,2004,Patrol,1,1,6,4.2,1,318198,1,0,1,0,0,4,7,39986
Mercedes-Benz,2004,E500,1,0,8,5.0,1,184426,0,1,0,0,0,4,5,9990
Subaru,2004,Impreza,1,1,4,2.5,1,315334,1,1,0,0,0,5,5,4999
Mazda,2004,6,1,0,4,2.3,1,191401,1,1,0,0,0,4,5,6990
Mercedes-Benz,2004,ML350,1,0,6,3.7,1,162199,0,0,1,0,0,4,5,12990
Hyundai,2004,Elantra,1,0,4,2.0,1,112950,1,1,0,0,0,4,5,6499
Lexus,2004,SC430,1,0,8,4.3,1,44329,1,1,0,0,0,2,4,51990
Toyota,2004,Landcruiser,1,0,6,4.0,1,287989,1,0,1,0,0,4,8,13999
Mazda,2004,3,1,1,4,2.0,1,160101,1,1,0,0,0,4,5,9290
Toyota,2004,Landcruiser,1,1,6,4.2,1,342898,1,0,0,1,0,2,3,44990
Toyota,2004,RAV4,1,0,4,2.4,1,265792,1,0,1,0,0,4,5,7999
Toyota,2004,Echo,1,0,4,1.3,1,164900,1,1,0,0,0,3,5,6200
Hyundai,2004,Getz,1,0,4,1.5,1,217362,1,1,0,0,0,3,5,6888
Volkswagen,2004,Touareg,1,0,6,3.2,1,221822,0,0,1,0,0,4,5,7999
Toyota,2004,Corolla,1,0,4,1.8,1,326000,1,1,0,0,0,5,5,6499
Nissan,2004,Pulsar,1,0,4,1.8,1,215000,1,1,0,0,0,4,5,5900
Toyota,2004,Corolla,1,1,4,1.8,1,249000,1,1,0,0,0,5,5,5590
BMW,2004,X3,1,0,6,3.0,1,138278,0,0,1,0,0,4,5,11999
Mitsubishi,2004,Pajero,1,0,4,3.2,1,269987,1,0,1,0,0,4,7,13990
Subaru,2004,Outback,1,0,4,2.5,1,369000,1,0,1,0,0,4,5,4999
Mazda,2004,3,1,1,4,2.3,1,251000,1,1,0,0,0,4,5,5999
BMW,2004,525I,1,0,6,2.5,1,264152,0,1,0,0,0,4,5,7499
Toyota,2004,Corolla,1,0,4,1.8,1,177000,1,1,0,0,0,4,5,6997
Mitsubishi,2004,Outlander,1,0,4,2.4,1,176715,1,0,1,0,0,4,5,8999
Toyota,2004,Corolla,1,1,4,1.8,1,263665,1,1,0,0,0,4,5,5999
Toyota,2004,Landcruiser,1,0,6,4.0,1,205430,1,0,1,0,0,4,8,20500
Mercedes-Benz,2004,SL350,1,0,6,3.7,1,146785,0,1,0,0,0,2,2,27980
Mitsubishi,2004,Triton,1,1,4,2.4,1,142600,1,0,0,1,0,2,3,10990
BMW,2004,X5,1,0,6,3.0,1,307826,0,0,1,0,0,4,5,9990
BMW,2004,530I,1,0,6,3.0,1,197119,0,1,0,0,0,4,5,12990
Toyota,2004,Landcruiser,1,0,8,4.7,1,240000,1,0,1,0,0,4,8,28990
Toyota,2004,Landcruiser,1,0,4,3.0,1,344881,1,0,1,0,0,4,8,17990
Mitsubishi,2004,Verada,1,0,6,3.5,1,152093,1,1,0,0,0,4,5,8990
Hyundai,2004,Tucson,1,0,6,2.7,1,203813,1,0,1,0,0,4,5,6990
Jaguar,2004,X,1,0,6,2.1,1,141965,0,1,0,0,0,4,5,10888
Mazda,2004,6,1,0,4,2.3,1,201123,1,1,0,0,0,5,5,1200
Toyota,2004,Landcruiser,1,1,6,4.2,1,308080,1,0,1,0,0,4,6,27990
Volvo,2004,V50,1,0,5,2.4,1,132523,0,1,0,0,0,4,5,9990
Mazda,2004,Tribute,1,0,6,3.0,1,235117,1,0,1,0,0,4,5,4990
Toyota,2004,Landcruiser,1,0,4,3.0,1,340058,1,0,1,0,0,4,8,18990
Porsche,2004,Cayenne,1,0,8,4.5,1,139190,0,0,1,0,0,4,5,21600
Honda,2004,CR-V,1,0,4,2.4,1,227892,1,0,1,0,0,4,5,9999
Mini,2004,Cooper,1,0,4,1.6,1,190380,0,1,0,0,0,2,4,9995
Nissan,2004,Pulsar,1,0,4,1.8,1,169979,1,1,0,0,0,5,5,5990
Toyota,2004,Corolla,1,0,4,1.8,1,236450,1,1,0,0,0,4,5,6999
Nissan,2004,Maxima,1,0,6,3.5,1,257222,1,1,0,0,0,4,5,6989
Toyota,2005,Camry,1,0,4,2.4,1,115821,1,1,0,0,0,4,5,8499
Honda,2005,Accord,1,0,4,2.4,1,167562,1,1,0,0,0,4,5,7949
Mazda,2005,6,1,0,4,2.3,1,247519,1,1,0,0,0,4,5,5950
Mercedes-Benz,2005,C200,1,0,4,1.8,1,98800,0,1,0,0,0,4,5,9888
Toyota,2005,Hilux,1,1,4,2.7,1,303119,1,0,0,1,0,4,5,9990
Mazda,2005,3,1,0,4,2.0,1,102673,1,1,0,0,0,4,5,8995
Toyota,2005,Landcruiser,1,0,6,4.0,1,181169,1,0,1,0,0,4,8,25888
Toyota,2005,HiAce,1,0,4,2.7,1,415181,1,0,0,0,1,4,3,10995
Toyota,2005,Echo,1,0,4,1.3,1,220905,1,1,0,0,0,5,5,6990
Mazda,2005,3,1,1,4,2.0,1,333632,1,1,0,0,0,5,5,2995
Toyota,2005,Camry,1,0,4,2.4,1,208899,1,1,0,0,0,4,5,5600
Suzuki,2005,Swift,1,0,4,1.5,1,194526,1,1,0,0,0,5,5,9983
Subaru,2005,Impreza,1,1,4,2.5,1,218308,1,1,0,0,0,5,5,5990
Nissan,2005,Patrol,1,1,4,3.0,1,174386,1,0,1,0,0,4,7,24990
Nissan,2005,Patrol,1,0,4,3.0,1,251488,1,0,1,0,0,4,7,21990
Mazda,2005,MPV,1,0,6,3.0,1,174025,1,1,0,0,0,4,7,6950
Mazda,2005,3,1,0,4,2.0,1,179958,1,1,0,0,0,4,5,8990
Toyota,2005,Camry,1,1,4,2.4,1,199931,1,1,0,0,0,4,5,6750
Toyota,2005,Hilux,1,1,4,3.0,1,313897,1,0,0,1,0,4,5,17990
Hyundai,2005,Getz,1,0,4,1.5,1,124242,1,1,0,0,0,5,5,9900
Mercedes-Benz,2005,E350,1,0,6,3.5,1,211053,0,1,0,0,0,4,5,7999
Toyota,2005,Camry,1,0,6,3.0,1,151400,1,1,0,0,0,4,5,10980
BMW,2005,X5,1,0,6,3.0,1,147501,0,0,1,0,0,4,5,9999
Toyota,2005,Hilux,1,1,4,3.0,1,258195,1,0,0,1,0,2,4,21000
Mazda,2005,B2500,1,1,4,2.5,1,251741,1,0,0,1,0,2,3,8990
Mazda,2005,MX-5,1,0,4,2.0,1,88506,1,1,0,0,0,2,2,19990
Toyota,2005,Landcruiser,1,0,4,3.0,1,369629,1,0,1,0,0,4,8,14950
Honda,2005,Accord,1,0,4,2.4,1,176789,1,1,0,0,0,4,5,7590
Mitsubishi,2005,380,1,0,6,3.8,1,166073,1,1,0,0,0,4,5,6450
Nissan,2005,Pulsar,1,0,4,1.8,1,175185,1,1,0,0,0,4,5,5550
Nissan,2005,Patrol,1,1,6,4.2,1,282812,1,0,0,1,0,2,3,45990
Suzuki,2005,Swift,1,0,4,1.5,1,276359,1,1,0,0,0,5,5,5990
Porsche,2005,Boxster,1,1,6,2.7,1,28482,0,1,0,0,0,2,2,59990
Subaru,2005,Forester,1,0,4,2.5,1,231001,1,0,1,0,0,4,5,6750
Hyundai,2005,Tucson,1,0,6,2.7,1,204000,1,0,1,0,0,4,5,7999
Lexus,2005,IS250,1,0,6,2.5,1,232162,1,1,0,0,0,4,5,9999
Honda,2005,CR-V,1,1,4,2.4,1,214226,1,0,1,0,0,4,5,7990
Hyundai,2005,Getz,1,0,4,1.5,1,132595,1,1,0,0,0,3,5,4500
Toyota,2005,Corolla,1,0,4,1.8,1,257811,1,1,0,0,0,5,5,7990
